4,acos,12,0,0,1,acos,2
4,gimp_image_get_imported_uri,13,1,3,1,imported,1
4,getpgid,2,0,0,1,pgid,1
4,gimp_data_is_deletable,12,2,6,1,deletable,1
4,cbrt,4,0,0,1,cbrt,1
5,magnitude,9,5,15,1,magnitude,1
5,oct_to_str_back,1,0,0,1,oct,1
5,dissect_amqp_0_9_method_channel_pong,1,0,0,1,pong,1
5,dissect_amqp_0_9_method_file_consume,1,0,0,1,consume,3
5,dissect_aodv_draft_01_v6_rreq,1,0,0,1,v6,2
5,looks_like_dtls,3,1,2,1,looks,2
5,dissect_erldp_handshake,1,0,0,1,er,2
5,dissect_InterpretVolMgtStuff,1,0,0,1,stuff,1
5,dissect_isns_attr_not_decoded_yet,16,0,0,1,yet,1
5,dissect_isup_connected_number_parameter,2,0,0,1,connected,2
5,calculate_extended_seqno,1,0,0,1,seqno,1
5,dissect_osd_requested_user_object_id,2,0,0,1,requested,2
5,wkssvc_dissect_element_NetrWorkstationStatistics_unknown30,1,0,0,1,30,1
5,dissect_camel_EventReportSMSArg,1,0,0,1,reports,1
5,dissect_ess_EquivalentLabels,1,0,0,1,equivalent,1
5,dissect_p22_AutoSubmitted,1,0,0,1,submitted,1
5,wtap_file_read_till_separator,1,0,0,1,till,1
5,mkdtemp,1,0,0,1,mkdtemp,1
5,cmdarg_err,225,0,0,0.9822,err,5
5,strcmp,3063,333,738,0.9806,strcmp,5
0,ap_expr_yylex,1,0,0,0.9759,yylex,3
1,svn_auth_get_keychain_ssl_client_cert_pw_provider,1,0,0,0.9756,client,5
3,getRightMostTuple,2,0,0,0.9677,most,3
5,have_filtering_tap_listeners,3,0,0,0.9677,have,5
5,capture_opts_add_iface_opt,3,1,4,0.9674,opt,4
5,dissect_registration_results_parameter,2,0,0,0.9655,results,4
5,host_name_lookup_process,3,0,0,0.9618,lookup,5
0,atol,16,2,7,0.96,atol,4
3,slot_deform_tuple,3,0,0,0.956,slot,4
4,calloc,10,0,0,0.9552,calloc,4
5,dissect_a11_extensions,1,0,0,0.9524,extensions,5
5,except_setup_try,99,0,0,0.9497,try,5
1,substitute_and_verify,58,0,0,0.9412,substitute,4
4,fseek,140,40,156,0.9375,fseek,3
2,buf_page_get_io_fix,14,7,25,0.9339,io,5
2,fsync,2,0,0,0.931,fsync,3
0,ap_rvputs,98,0,0,0.9231,rv,2
2,usage_program,4,0,0,0.9231,program,4
3,_bt_findinsertloc,1,0,0,0.9231,loc,2
2,Verify,2,0,0,0.9221,verify,5
0,ap_varbuf_cfg_getline,4,3,12,0.9091,cfg,2
3,AcceptInvalidationMessages,13,0,0,0.9091,accept,5
5,adwin_request_response_handling,7,0,0,0.9091,handling,2
4,gtk_window_set_auto_startup_notification,1,0,0,0.9032,startup,4
3,DirectFunctionCall2Coll,165,0,0,0.9,direct,5
3,is_member_of_role_nosuper,2,1,4,0.9,super,3
3,_copyMaterial,1,0,0,0.9,material,3
5,mbim_dissect_subscriber_ready_status,1,0,0,0.9,ready,3
5,dissect_cmip_ObjectClass,2,0,0,0.9,objectclass,1
5,dissect_affected_destinations_parameter,6,0,0,0.8929,affected,2
0,ap_expr_eval_var,1,0,0,0.8919,eval,5
2,rmdir,4,1,4,0.8889,rmdir,2
3,GetNumShmemAttachedBgworkers,3,0,0,0.877,attached,2
2,dict_stats_is_persistent_enabled,7,0,0,0.875,persistent,2
5,register_all_wiretap_modules,3,0,0,0.875,modules,3
5,rijndael_encrypt,8,0,0,0.875,encrypt,4
2,Reserve,4,0,0,0.8696,reserve,4
5,dissect_quake2_client_commands_move,1,0,0,0.8696,commands,5
4,gimp_progress_install_vtable,3,0,0,0.8667,progress,4
4,gimp_number_pair_entry_new,1,0,0,0.8594,pair,5
0,proc_mutex_mech,1,0,0,0.8571,mech,2
1,svn_io_copy_perms,11,0,0,0.8571,perms,2
4,gimp_int16_array_get_type,9,0,0,0.8571,t16,3
5,detect_add_path_prefix4,2,0,0,0.8571,detect,2
5,proto_register_docsis_bintrngreq,1,0,0,0.8547,req,4
3,getnum,16,0,0,0.8524,num,5
