Software,Function name,Called time,Log time,Log Level,Weight,Keyword
4,gimp_plug_in_manager_add_locale_domain,1,0,0,0.4639,locale
4,gimp_plug_in_def_set_locale_domain,3,0,0,0.4639,locale
4,gimp_plug_in_manager_add_help_domain,1,0,0,0.7874,help
4,gimp_plug_in_manager_bind_text_domains,1,0,0,0.1198,bind
4,gimp_plug_in_manager_add_to_db,1,0,0,0.2801,db
4,g_slist_sort_with_data,3,0,0,0.1607,with
4,gimp_plug_in_manager_run_extensions,1,0,0,0.5118,run
4,gimp_interpreter_db_get_extensions,1,0,0,0.2801,db
4,plug_in_rc_parse,1,0,0,0.2469,parse
4,gimp_plug_in_manager_add_from_rc,1,0,0,0.1964,from
4,gimp_plug_in_manager_call_query,1,0,0,0.4998,query
4,gimp_plug_in_manager_call_init,1,0,0,0.1231,it
4,gimp_procedure_execute_async,5,5,10,5.4405,execute
4,gimp_plug_in_manager_get_locale_domains,1,0,0,0.4639,locale
4,libintl_bindtextdomain,165,0,0,0.0000,libintl
4,libintl_bind_textdomain_codeset,165,0,0,0.2032,code
4,gimp_plug_in_manager_ignore_plugin_basename,1,0,0,0.3488,ignore
4,gimp_plug_in_def_new,2,0,0,0.0952,def
4,gimp_plug_in_def_set_mtime,1,0,0,0.1250,mtime
4,gimp_plug_in_def_set_needs_query,1,0,0,0.4998,query
4,g_utf8_collate,6,0,0,0.6634,utf8
4,gimp_plug_in_procedure_class_init,1,0,0,0.2219,class
4,gimp_plug_in_manager_call_run,2,0,0,0.5118,run
4,gimp_plug_in_procedure_get_locale_domain,6,0,0,0.4639,locale
4,gimp_plug_in_procedure_get_help_domain,1,0,0,0.7874,help
4,image_types_parse,1,0,0,0.2469,parse
4,extensions_parse,3,0,0,0.2469,parse
4,gimp_pdb_status_type_get_type,6,0,0,0.4648,type
4,gimp_plug_in_cleanup,1,0,0,0.0449,in
4,shm_open,2,2,8,0.7729,open
4,mmap,2,0,0,1.0714,mmap
4,shm_unlink,3,0,0,0.5680,shm
4,munmap,2,0,0,0.0000,munmap
4,gimp_temporary_procedure_class_init,1,0,0,0.2219,class
4,gimp_plug_in_manager_call_run_temp,2,0,0,0.5118,run
4,gimp_pdb_compat_arg_type_to_gtype,1,0,0,0.4648,type
4,gimp_pdb_compat_arg_type_from_gtype,9,0,0,0.4648,type
4,gimp_value_set_int32array,1,0,0,0.1000,t32
4,gimp_value_set_static_int32array,1,0,0,0.1000,t32
4,gimp_value_set_int16array,1,0,0,0.0711,set
4,gimp_value_set_static_int16array,1,0,0,0.0711,set
4,gimp_value_set_int8array,1,0,0,0.2727,t8
4,gimp_value_set_static_int8array,1,0,0,0.2727,t8
4,gimp_value_set_floatarray,1,0,0,0.0711,set
4,gimp_value_set_static_floatarray,1,0,0,0.0711,set
4,gimp_value_set_stringarray,1,0,0,0.0711,set
4,gimp_value_set_static_stringarray,1,0,0,0.0711,set
4,gimp_value_set_colorarray,1,0,0,0.0711,set
4,gimp_value_set_static_colorarray,1,0,0,0.0711,set
4,g_value_set_static_boxed,4,0,0,0.0711,set
4,gimp_value_dup_int32array,1,0,0,0.1238,dup
4,gimp_value_get_int32array,1,0,0,0.1852,get
4,gimp_value_dup_int16array,1,0,0,0.1238,dup
4,gimp_value_get_int16array,1,0,0,0.1852,get
4,gimp_value_dup_int8array,1,0,0,0.2727,t8
4,gimp_value_get_int8array,8,0,0,0.2727,t8
4,gimp_value_dup_floatarray,1,0,0,0.1238,dup
4,gimp_value_get_floatarray,24,0,0,0.1852,get
4,gimp_value_dup_stringarray,1,0,0,0.1238,dup
4,gimp_value_get_stringarray,1,0,0,0.1852,get
4,gimp_value_dup_colorarray,1,0,0,0.1238,dup
4,gimp_value_get_colorarray,1,0,0,0.1852,get
4,gimp_icon_type_get_type,4,0,0,0.4648,type
4,plug_in_def_deserialize,1,0,0,0.0952,def
4,plug_in_procedure_deserialize,1,0,0,0.0449,in
4,plug_in_locale_def_deserialize,1,0,0,0.4639,locale
